timestamp,open,high,low,close,volume,number_of_trades,taker_buy_volume,taker_sell_volume,funding_rate
2021-01-01 00:00:00,28923.63,29031.34,28690.17,28995.13,2311.811445,58389,1215.359238,1096.4522069999998,0.0
2021-01-01 01:00:00,28995.13,29470.0,28960.35,29409.99,5403.068471,103896,3160.041701,2243.0267699999995,0.00022753
2021-01-01 02:00:00,29410.0,29465.26,29120.03,29194.65,2384.23156,57646,1203.433506,1180.798054,0.00022753
2021-01-01 03:00:00,29195.25,29367.0,29150.02,29278.4,1461.345077,42510,775.915666,685.429411,0.00022753
2021-01-01 04:00:00,29278.41,29395.0,29029.4,29220.31,2038.046803,55414,1003.342834,1034.703969,0.00022753
2021-01-01 05:00:00,29220.31,29235.28,29084.11,29187.01,1469.956262,41800,679.846742,790.10952,0.00022753
2021-01-01 06:00:00,29187.01,29270.0,29077.32,29174.35,1420.726291,46400,699.142676,721.5836149999999,0.00022753
2021-01-01 07:00:00,29174.35,29191.98,28806.54,29092.83,2380.180918,53158,1054.720991,1325.459927,0.00022753
2021-01-01 08:00:00,29092.84,29178.03,28872.24,29000.01,2008.165739,55012,1022.06617,986.099569,0.00022753
2021-01-01 09:00:00,29000.01,29307.73,28970.0,29202.21,2022.056022,43674,1208.477578,813.578444,0.00026336
2021-01-01 10:00:00,29202.21,29344.97,29152.88,29223.82,1944.255841,46783,1014.538319,929.7175219999999,0.00026336
2021-01-01 11:00:00,29223.82,29402.57,29212.44,29313.49,2309.227717,49883,1309.012816,1000.2149010000003,0.00026336
2021-01-01 12:00:00,29313.49,29600.0,29150.0,29233.49,4191.915161,82845,2333.306753,1858.608408,0.00026336
2021-01-01 13:00:00,29233.49,29470.0,29200.0,29464.79,2211.29829,51420,1102.4041,1108.8941900000002,0.00026336
2021-01-01 14:00:00,29464.79,29530.0,29266.15,29327.84,2612.67217,63341,1251.808709,1360.863461,0.00026336
2021-01-01 15:00:00,29327.83,29391.0,29030.14,29188.67,2779.063894,71966,1262.580153,1516.4837409999998,0.00026336
2021-01-01 16:00:00,29188.67,29360.0,29125.0,29300.57,1490.329484,41586,774.312477,716.0170070000001,0.00026336
2021-01-01 17:00:00,29300.79,29339.76,28937.0,29079.64,2504.977099,58010,1019.118051,1485.8590480000003,0.00034457
2021-01-01 18:00:00,29077.59,29259.98,28624.57,29072.7,4226.430041,88856,1801.542032,2424.8880089999993,0.00034457
2021-01-01 19:00:00,29072.7,29125.32,28950.0,29029.04,1629.228721,49038,752.045015,877.1837059999999,0.00034457
2021-01-01 20:00:00,29029.04,29279.72,28880.37,29200.96,1838.549082,52949,960.228963,878.320119,0.00034457
2021-01-01 21:00:00,29200.97,29289.82,29130.0,29160.39,1447.229641,34181,776.324093,670.905548,0.00034457
